English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
I,እኔ (əne),أنا (ana),نِ (ni),أنا (ana),أَنَا (anā),أنا (ana),𠊛 (tôi),saya,ꦲꦏꦸ (aku),ᜀᜃᜓ (ako),ನಾನು (nānu),நான் (nāṉ),నేను (nēnu),আমি (āmi),हम (ham),I,je,હું (hũ),मैं (ma͠i),من (man),io,मी (mī),eu,я (ja),yo,ich,میں (maĩ),میں (maĩ),我 (wa),나 (na),ฉัน (chan),مِيمِ (mimi),我 (wǒ),我 (ngu),我 (ngóh),بن (ben),𐲋𐲛 (én),ni,minä,mina,já,ja,𖬌𖬰𖬝 (kuv),ja,ngáí,mụ,مُـواْ (mo),اكو (aku),ᮊᮥᮛᮤᮀ (kuring),мен (men),أنا (ana),أنا (ana),مان (mā̃),میں (mẽ),我 (và),我 (goá),𠊎 (ngài),我 (ô),ᠪᠢ (bi),ငါ (nga),ମୁଁ (mũ),म (ma),ഞാൻ (ñāṉ),я (ja),εγώ (egó)
you (sg.),አንተ (antä),انت (inta),كَيْ (kai),إنت (inta),أَنْتَ (anta),إنت (inta),伴 (bạn),kamu,ꦏꦺꦴꦮꦺ (kowé),ᜁᜃᜏ᜔ (ikaw),ನೀನು (nīnu),நீ (nī),నువ్వు (nuvvu),তুমি (tumi),तू (tū),you,tu,તું (tũ),तुम (tum),تو (to),tu,तू (tū),tu,ты (ty),tú,du,تم (tum),تسیں (tusī̃),貴方 (anata),너 (neo),คุณ (khun),ويوِي (wewe),你 (nǐ),儂 (non),你 (néih),سن (sen),𐲦𐲈 (te),zu,sinä,sina,ty,ty,𖬪𖬵𖬒 (koj),ty,yó,gị,عُواْ (o),اڠكاو (engkau),ᮙᮔᮦᮂ (manéh),сен (sen),نتا (nta),نتا (nta),تون (tū̃),توں (tū̃),你 (nì),汝 (lí),你 (ngì),你 (lǐ),ᠴᠢ (chi),မင်း (min),ତୁ (tu),तँ (tã),നീ (nī),ти (ty),εσύ (esý)
we,እኛ (əñña),احنا (eḥna),مُو (mu),إحنا (neḥna),نَحْنُ (naḥnu),نحن (niḥna),衆𠊛 (chúng tôi),kami,ꦲꦮꦏ꧀ꦝꦺꦮꦺ (awak dhéwé),ᜆᜌᜓ (tayo),ನಾವು (nāvu),நாம் (nām),మనము (manamu),আমরা (amra),हमनी (hamnī),we,nous,આપણે (āpaṇe),हम (ham),ما (mâ),noi,आपण (āpaṇ),nós,мы (my),nosotros,wir,ہم (ham),اسیں (asī̃),私達 (watashitachi),우리 (uri),เรา (rao),سِيسِ (sisi),我們 (wǒmen),阿拉 (aq laq),我哋 (ngóh dèih),بز (biz),𐲚𐲒 (mi),gu,me,me,my,my,𖬖𖬰𖬤 (peb),my,bísó,anyị,أَ (a),كيت (kita),ᮅᮛᮀ (urang),биз (biz),حنا (ḥna),حنا (ḥna),اسان (asā̃),اَسَّاں (assā̃),俺每 (ǎn-mei),咱 (lán),𠊎等 (ngài-tên),我哩 (ô-lī),ᠪᠢᠳᠡ (bide),ငါတို့ (nga-do),ଆମେ (āme),हामी (hāmī),നമ്മൾ (nammaḷ),ми (my),εμείς (emeís)
this,ይህ (yəh),ده (dah),وَنْنَن (wannan),هاد (hād),هٰذَا (hādhā),ده (da),尼 (này),ini,ꦲꦶꦏꦶ (iki),ᜁᜆᜓ (ito),ಇದು (idu),இது (itu),ఇది (idi),এ (e),ई (ī),this,ceci,આ (ā),यह (yah),این (in),questo,हे (he),este,э́то (éto),este,dieser,یہ (yeh),ایہ (e),此れ (kore),이 (i),นี้ (ni),هِي (hii),這 (zhè),搿個 (geq-keq),呢 (nī),بو (bu),𐲈𐲮 (ez),hau,tämä,see,tento,tento,𖬪𖬦 (no),ten,óyo,nke a,عَٜیِی (èyí),اين (ini),ᮄᮉ (ieu),бу (bu),هذا (hāda),هادا (hāda),هيءُ (hīu),اے (e),這 (zé),這 (che),這 (liá),箇 (kó),ᠡᠨᠡ (ene),ဒီ (di),ଏହା (ehā),यो (yo),ഇത് (itŭ),цей (cej),αυτός (aftós)
that,ያ (ya),داك (dāk),وَنـْچَن (wancan),هداك (hadāk),ذٰلِكَ (dhālika),داك (dāk),𠼲 (đó),itu,ꦲꦶꦏ길 (iku),ᜁᜌᜓᜈ᜔ (iyon),ಅದು (adu),அது (atu),అది (adi),ও (ō),ऊ (ū),that,cela,પેલું (pelũ),वह (vah),آن (ân),quello,ते (te),aquele,то (to),ese,jener,وہ (voh),اوہ (oh),其れ (sore),그 (geu),นั้น (nan),إِلِي (ile),那 (nà),埃個 (e-keq),嗰 (gó),شو (şu),𐲀𐲮 (az),hori,tuo,too,tamten,ten,𖬔𖬶𖬝𖬵 (ntawd),tamten,wâná,nke ahụ,إِیَِنْ (ìyẹn),ايت (itu),ᮆᮒ (éta),у (u),هذاك (hādāk),هاداك (hādāk),هو (hū),او (o),兀 (uěq),彼 (he),該 (kê),许 (xǔ),ᠲᠡᠷᠡ (tere),ဟို (ho),ତାହା (tāhā),त्यो (tyo),അത് (atŭ),той (toj),εκείνος (ekeínos)
who,ማን (man),مين (mīn),وَا (wa),مين (mīn),مَنْ (man),منو (munu),埃 (ai),siapa,ꦱꦥ (sapa),ᜐᜒᜈᜓ (sino),ಯಾರು (yāru),யார் (yār),ఎవరు (evaru),কে (ke),के (ke),who,qui,કોણ (koṇ),कौन (kaun),کی (ki),chi,कोण (koṇ),quem,кто (kto),quién,wer,کون (kaun),کَون (kaun),誰 (dare),누구 (nugu),ใคร (khrai),نَانِ (nani),誰 (shéi),啥人 (sa gnin),邊個 (bīn gō),كيم (kim),𐲗𐲒 (ki),nor,kuka,kes,kdo,kto,𖬖𖬰𖬭𖬌𖬵𖬞 (leej twg),kto,náni,onye,تَا (ta),سياڤا (siapa),ᮞᮠ (saha),ким (kim),شكون (škūn),شكون (škūn),ڪير (keru),کوݨ (koṇ),甚人 (sēng rēng),啥人 (siáⁿ-lâng),曼儕 (mân-sà),哪箇 (lá-kǒ),ᠬᠡᠨ (ken),ဘယ်သူ (bè-du),କିଏ (kie),को (ko),ആര് (ārŭ),хто (xto),ποιος (poios)
what,ምን (mən),ايه (ēh),مِي (me),شو (shū),مَا (mā),شنو (shunu),𡇩 (gì),apa,ꦲꦥ (apa),ᜀᜈᜓ (ano),ಏನು (ēnu),என்ன (eṉṉa),ఏమిటి (ēmiṭi),কী (ki),का (kā),what,quoi,શું (śũ),क्या (kyā),چه (če),cosa,काय (kāy),que,что (čto),qué,was,کیا (kyā),کیہہ (kēh),何 (nani),무엇 (mu-eot),อะไร (arai),نِينِ (nini),什麼 (shénme),啥 (sa),乜嘢 (māt yéh),نه (ne),𐲚𐲒 (mi),zer,mikä,mis,co,čo,𖬖𖬰𖬚𖬜𖬟𖬵 (dabtsi),co,níni,gịnị,كِی (kí),اڤ (apa),ᮔᮇᮔ᮪ (naon),нима (nima),واش (wāš),شنو (šnū),ڇا (chā),کیا (kyā),甚 (sēng),啥物 (siáⁿ-mih),麼个 (mâ-ke),么子 (mā-tsǐ),ᠶᠤᠤ (yuu),ဘာ (ba),କ'ଣ (ka'ṇa),के (ke),എന്ത് (entŭ),що (ščo),τι (ti)
not,አይደለም (aydälläm),مش (mish),بَا (ba),مو (moo),لَا (lā),ما (mā),空 (không),tidak,ꦲꦺꦴꦫ (ora),ᜑᜒᜈ᜔ᜇᜒ (hindi),ಇಲ್ಲ (illa),இல்லை (illai),లేదు (lēdu),না (na),ना (nā),not,ne pas,નહીં (nahī̃),नहीं (nahī̃),نـ (na),non,नाही (nāhī),não,не (ne),no,nicht,نہیں (nahī̃),نہیں (nahī̃),ない (nai),아니다 (anida),ไม่ (mai),سِ (si),不 (bù),勿 (veq),唔 (m̀h),دگل (değil),𐲛𐲈𐲚 (nem),ez,ei,mitte,ne,nie,𖬜𖬰𖬟𖬵 (tsis),nie,tɛ́,ọ bụghị,كُـواْ (kò),تيدق (tidak),ᮠᮨᮔ᮪ᮒᮩ (henteu),эмас (emas),ماشي (māšī),ماشي (māšī),نه (na),نہیں (nahĩ),不 (běq),毋 (m̄),毋 (m̀),不 (bù),ᠦᠭᠡᠢ (ügei),မ (ma),ନାହିଁ (nāhĩ),न (na),അല്ല (alla),не (ne),όχι (óchi)
all,ሁሉ (hullu),كل (kull),دُكْ (duk),كل (kull),كُلّ (kull),كل (kull),悉哿 (tất cả),semua,ꦏꦧꦺꦃ (kabèh),ᜎᜑᜆ᜔ (lahat),ಎಲ್ಲ (ella),அனைத்து (aṉaittu),అన్నీ (annī),সব (śob),सभ (sabh),all,tout,બધું (badhũ),सब (sab),همه (hame),tutto,सगळं (sagaḷaṁ),todo,всё (vsjo),todo,alle,سب (sab),سارا (sārā),皆 (mina),모든 (modeun),ทั้งหมด (thangmot),يُوتِي (yote),全部 (quánbù),儕 (ze),全部 (chyùhn bòuh),بوتون (bütün),𐲚𐲒𐲛𐲅𐲈𐲛 (minden),oro,kaikki,kõik,všechno,všetko,𖬌𖬰𖬦𖬜𖬟 (huv si),wszystko,nyɔ́nso,niile,ڠُـواْڠُـواْ (gbogbo),سموا (semua),ᮊᮘᮦᮂ (kabéh),ҳамма (hamma),ڤاع (gāʿ),كُلّ (kull),سڀ (sabhu),سبھ (sabh),都 (dōu),攏 (lóng),齊部 (chhè-phu),通共 (tōng-gòng),ᠪᠦᠭᠦᠳᠡ (bügüde),အားလုံး (a-lone),ସବୁ (sabu),सबै (sabai),എല്ലാം (ellāṁ),весь (ves’),όλος (ólos)
many,ብዙ (bəzu),كتير (kitīr),دَ يَوَا (da yawa),كتير (ktīr),كَثِير (kathīr),كتير (katīr),𡗶 (nhiều),banyak,ꦲꦏꦺꦃ (akèh),᜙ᜇᜓᜈᜒ (marami),ಹಲವು (halavu),பல (pala),చాలా (cālā),অনেক (onek),अंघा (aṅghā),many,beaucoup,ઘણું (ghaṇũ),बहुत (bahut),خیلی (xeyli),molto,पुष्कळ (puṣkaḷ),muito,мно́го (mnógo),mucho,viele,بہت (bahut),بوہتے (bōhtē),多い (ooi),많은 (maneun),หลาย (lai),ڽِينقِ (nyingi),多 (duō),交關 (ciau kue),多 (dō),چوق (çok),𐲤𐲝𐲖 (sok),asko,monta,palju,hodně,veľa,𖬔𖬦𖬵 (ntau),wiele,míngi,ọtụtụ,پُوپُـو (púpọ̀),باڽق (banyak),ᮜᮧᮘ (loba),кўп (koʻp),بزاف (bəzzāf),بزاف (bəzzāf),گهڻا (ghaṇā),ٻہوں (b̤ahū̃),多 (duō),濟 (chē),多 (tô),多 (tô),ᠣᠯᠠᠨ (olan),အများ (a-mya),ଅନେକ (aneka),धेरै (dherai),കുറേ (kuṟē),багато (bahato),πολύς (polýs)
